Partition,Algorithm,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,Predict.nDCG,TopN.nDCG,MAP,MRR
5,popular,0.228,0.671,,,,,,0.09875872854776302,0.14633438573205768,0.16696634462149942
5,svd,23.053,0.778,172,860,860,1.0,0.9726602702018204,0.040551240080336684,0.07159131929633175,0.07351917341895331
5,lucene,0.22,26.678,172,860,838,0.9744186046511628,0.9555152342514605,0.030852846255144502,0.04825368827879416,0.05161480832659267
5,svd-log,30.459,4.94,172,860,860,1.0,0.9549558636552539,0.10684268467504356,0.1570179261395253,0.19065610649701084
1,ii,15.628,61.204,173,865,865,1.0,0.9737331801502354,0.03985772880498295,0.04871379271440116,0.05215440730043711
1,svd,19.356,0.45,173,865,865,1.0,0.9748737503572122,0.054576353966895585,0.07535466651905158,0.08405348706078267
5,ii,13.892,64.078,172,860,860,1.0,0.9721694904006293,0.0331026338989145,0.04639626137403155,0.0470870053718891
1,svd-log,25.17,3.418,173,865,865,1.0,0.9568610511519007,0.12721814868896156,0.16212917853815267,0.19688648376724016
1,lucene,0.007,22.471,173,865,836,0.9664739884393063,0.9547750701119551,0.02815630384352783,0.035885448911356206,0.03634243902917597
1,popular,0.008,0.266,,,,,,0.12605689849144416,0.16967491572067395,0.18778614362983775
5,lucene-log,66.478,157.33,172,860,860,1.0,0.9577618998940878,0.10619229343714572,0.16722158477618593,0.20090124701210627
4,lucene-log,56.562000000000005,152.518,172,860,860,1.0,0.9539038648952984,0.10902435971017162,0.15948344236574954,0.18419583525840588
4,popular,0.008,0.228,,,,,,0.09386806749911826,0.13539182356754992,0.15649422247440067
5,lucene-svd-log,86.19,161.975,172,860,860,1.0,0.9573711318353098,0.10540643898253116,0.16615809154004263,0.20151954776869288
4,lucene,0.005,22.77,172,860,836,0.9720930232558139,0.9522226157928345,0.028724939304299837,0.03572679528214993,0.038368844090814404
4,svd-log,22.718,3.455,172,860,860,1.0,0.9519827237240353,0.1027078395908921,0.15304792055597155,0.17375228765663248
4,svd,19.332,0.439,172,860,860,1.0,0.9705209405459487,0.04338092310863832,0.07435255193283129,0.08836948979732837
4,lucene-svd-log,71.675,160.52,172,860,860,1.0,0.9548441163736032,0.10956912603784542,0.15872723197079042,0.18464895803093923
5,ii-log,92.857,246.11700000000002,172,860,860,1.0,0.9571394349335905,0.10349602051450145,0.16536339584922172,0.18621215236332922
4,ii,11.273,58.488,172,860,860,1.0,0.970419419859666,0.03279209747345742,0.04300450687433896,0.0484378082780576
