Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,popular,1741,0.029,,,,,,0.0,0.0,,0.0
5,popular,2847,0.004,,,,,,0.0355697618323039,0.0625,16,0.0625
5,popular,4347,0.003,,,,,,0.11739821293467662,0.1,10,0.1
5,popular,4483,0.003,,,,,,0.14429847007000168,0.08193979933110368,13,0.07692307692307693
5,popular,5063,0.003,,,,,,0.0,0.0,,0.0
5,popular,8335,0.004,,,,,,0.0,0.0,,0.0
5,popular,9263,0.005,,,,,,0.0,0.0,,0.0
5,popular,10164,0.003,,,,,,0.0,0.0,,0.0
5,popular,10573,0.003,,,,,,0.0,0.0,,0.0
5,popular,11081,0.003,,,,,,0.15047899834300432,0.0787878787878788,15,0.06666666666666667
5,popular,12014,0.005,,,,,,0.13246827640979114,0.25,4,0.25
5,popular,12930,0.004,,,,,,0.0,0.0,,0.0
5,popular,12999,0.006,,,,,,0.0,0.0,,0.0
5,popular,13340,0.003,,,,,,0.0,0.0,,0.0
5,popular,13927,0.005,,,,,,0.4020515979134133,0.5909090909090909,1,1.0
5,popular,14328,0.007,,,,,,0.0,0.0,,0.0
5,popular,14833,0.004,,,,,,0.0,0.0,,0.0
5,popular,15415,0.003,,,,,,0.1349914906123908,0.25,4,0.25
5,popular,17039,0.004,,,,,,0.06622980047984157,0.07692307692307693,13,0.07692307692307693
5,popular,17318,0.003,,,,,,0.7741716068056781,0.7309782608695652,1,1.0
5,popular,17630,0.009000000000000001,,,,,,0.13086074389658173,0.16666666666666666,6,0.16666666666666666
5,popular,17709,0.003,,,,,,0.07582883242295003,0.06666666666666667,15,0.06666666666666667
5,popular,18127,0.004,,,,,,0.0,0.0,,0.0
5,popular,18390,0.003,,,,,,0.10947584915379813,0.07692307692307693,13,0.07692307692307693
5,popular,18634,0.003,,,,,,0.0,0.0,,0.0
5,popular,18758,0.006,,,,,,0.25858988435146313,0.5,2,0.5
5,popular,19114,0.003,,,,,,0.09015758784889076,0.09090909090909091,11,0.09090909090909091
5,popular,21050,0.005,,,,,,0.0,0.0,,0.0
5,popular,21280,0.004,,,,,,0.0,0.0,,0.0
5,popular,21401,0.007,,,,,,0.0,0.0,,0.0
5,popular,22074,0.004,,,,,,0.0,0.0,,0.0
5,popular,22245,0.009000000000000001,,,,,,0.0,0.0,,0.0
5,popular,22352,0.004,,,,,,0.3702410134408934,0.3214285714285714,2,0.5
5,popular,24797,0.004,,,,,,0.33720622417336804,0.21755368814192344,3,0.3333333333333333
5,popular,25268,0.003,,,,,,0.10851101718436269,0.09090909090909091,11,0.09090909090909091
5,popular,25645,0.005,,,,,,0.10313076624052035,0.14285714285714285,7,0.14285714285714285
5,popular,26022,0.004,,,,,,0.0,0.0,,0.0
5,popular,26222,0.003,,,,,,0.0,0.0,,0.0
5,popular,27142,0.004,,,,,,0.30587490546116547,1.0,1,1.0
5,popular,27456,0.003,,,,,,0.0,0.0,,0.0
5,popular,27474,0.003,,,,,,0.3684772075612117,0.41666666666666663,3,0.3333333333333333
5,popular,27579,0.003,,,,,,0.0,0.0,,0.0
5,popular,27731,0.003,,,,,,0.0,0.0,,0.0
5,popular,27898,0.006,,,,,,0.04512861305643775,0.05555555555555555,18,0.05555555555555555
5,popular,28176,0.004,,,,,,0.0948640051664924,0.16666666666666666,6,0.16666666666666666
5,popular,32234,0.003,,,,,,0.11158941173937739,0.1111111111111111,9,0.1111111111111111
5,popular,32780,0.003,,,,,,0.08399862078826238,0.06666666666666667,15,0.06666666666666667
5,popular,33003,0.003,,,,,,0.0,0.0,,0.0
5,popular,33860,0.003,,,,,,0.0705505197132916,0.043478260869565216,23,0.043478260869565216
5,popular,34494,0.007,,,,,,0.0,0.0,,0.0
5,popular,35050,0.002,,,,,,0.0,0.0,,0.0
5,popular,35259,0.003,,,,,,0.5278016969389845,0.5694444444444444,1,1.0
5,popular,35613,0.003,,,,,,0.09381629559399639,0.13095238095238093,6,0.16666666666666666
5,popular,38256,0.003,,,,,,0.0,0.0,,0.0
5,popular,39714,0.003,,,,,,0.0,0.0,,0.0
5,popular,40618,0.002,,,,,,0.18726016079826094,0.5,2,0.5
5,popular,41941,0.002,,,,,,0.0,0.0,,0.0
5,popular,43618,0.002,,,,,,0.0,0.0,,0.0
5,popular,45015,0.002,,,,,,0.0792116612066706,0.058823529411764705,17,0.058823529411764705
5,popular,45537,0.003,,,,,,0.13154036353570261,0.17142857142857143,7,0.14285714285714285
5,popular,46093,0.006,,,,,,0.08135970505479212,0.08928571428571427,12,0.08333333333333333
5,popular,48410,0.002,,,,,,0.0,0.0,,0.0
5,popular,49830,0.003,,,,,,0.0,0.0,,0.0
5,popular,53023,0.004,,,,,,0.2996162572772175,1.0,1,1.0
5,popular,53819,0.004,,,,,,0.0,0.0,,0.0
5,popular,54437,0.002,,,,,,0.22015550514798832,0.21428571428571427,3,0.3333333333333333
5,popular,54805,0.002,,,,,,0.0,0.0,,0.0
5,popular,58166,0.002,,,,,,0.2731674447661952,0.3333333333333333,3,0.3333333333333333
5,popular,58346,0.002,,,,,,0.12440799154267666,0.08846153846153847,13,0.07692307692307693
5,popular,58612,0.002,,,,,,0.06574431576596326,0.043478260869565216,23,0.043478260869565216
5,popular,59812,0.003,,,,,,0.13125957017083775,0.08834586466165413,14,0.07142857142857142
5,popular,60729,0.003,,,,,,0.2739649015212436,0.5,2,0.5
5,popular,61276,0.003,,,,,,0.0,0.0,,0.0
5,popular,61400,0.003,,,,,,0.0,0.0,,0.0
5,popular,61755,0.003,,,,,,0.0,0.0,,0.0
5,popular,62314,0.002,,,,,,0.0,0.0,,0.0
5,popular,62716,0.003,,,,,,0.08492225627157399,0.08333333333333333,12,0.08333333333333333
5,popular,63295,0.002,,,,,,0.19403706785212296,0.165,4,0.25
5,popular,64365,0.002,,,,,,0.08814484904698355,0.1111111111111111,9,0.1111111111111111
5,popular,64655,0.003,,,,,,0.06005166073457929,0.07692307692307693,13,0.07692307692307693
5,popular,66092,0.003,,,,,,0.0,0.0,,0.0
5,popular,67615,0.003,,,,,,0.10090863241936678,0.1111111111111111,9,0.1111111111111111
5,popular,68905,0.003,,,,,,0.10689197864524863,0.14285714285714285,7,0.14285714285714285
5,popular,69256,0.002,,,,,,0.06870460325819747,0.045454545454545456,22,0.045454545454545456
5,popular,69374,0.003,,,,,,0.07152637043049294,0.041666666666666664,24,0.041666666666666664
5,popular,69498,0.003,,,,,,0.13936883635608588,0.25,4,0.25
5,popular,70939,0.003,,,,,,0.0,0.0,,0.0
5,popular,71825,0.003,,,,,,0.0,0.0,,0.0
5,popular,72633,0.003,,,,,,0.17543510241837088,0.25,4,0.25
5,popular,74182,0.003,,,,,,0.0,0.0,,0.0
5,popular,74849,0.002,,,,,,0.0,0.0,,0.0
5,popular,75422,0.003,,,,,,0.0,0.0,,0.0
5,popular,78917,0.002,,,,,,0.0,0.0,,0.0
5,popular,80080,0.003,,,,,,0.0,0.0,,0.0
5,popular,80585,0.003,,,,,,0.44924450263271143,0.4861111111111111,1,1.0
5,popular,82202,0.002,,,,,,0.19629654978820654,0.2111111111111111,5,0.2
5,popular,82880,0.002,,,,,,0.16427108831614792,0.12222222222222222,9,0.1111111111111111
5,popular,83556,0.002,,,,,,0.0,0.0,,0.0
5,popular,85030,0.002,,,,,,0.0,0.0,,0.0
5,popular,85242,0.003,,,,,,0.0,0.0,,0.0
5,popular,85518,0.003,,,,,,0.0,0.0,,0.0
5,popular,85617,0.003,,,,,,0.23130729001713954,0.16842105263157894,4,0.25
5,popular,86449,0.003,,,,,,0.15142783671345122,0.08333333333333333,12,0.08333333333333333
5,popular,86592,0.002,,,,,,0.0,0.0,,0.0
5,popular,86768,0.002,,,,,,0.0,0.0,,0.0
5,popular,86784,0.003,,,,,,0.0,0.0,,0.0
5,popular,87042,0.002,,,,,,0.07135026090149922,0.08333333333333333,12,0.08333333333333333
5,popular,88266,0.003,,,,,,0.0,0.0,,0.0
5,popular,88394,0.002,,,,,,0.3755855073039289,0.54,1,1.0
5,popular,88857,0.002,,,,,,0.05579284511454171,0.05263157894736842,19,0.05263157894736842
5,popular,90145,0.003,,,,,,0.0,0.0,,0.0
5,popular,91478,0.002,,,,,,0.15343370595490688,0.25,4,0.25
5,popular,92106,0.003,,,,,,0.0,0.0,,0.0
5,popular,92814,0.002,,,,,,0.0,0.0,,0.0
5,popular,92882,0.002,,,,,,0.0,0.0,,0.0
5,popular,93705,0.003,,,,,,0.0,0.0,,0.0
5,popular,94462,0.003,,,,,,0.1064897094343,0.16666666666666666,6,0.16666666666666666
5,popular,94883,0.002,,,,,,0.29079187593761835,0.24358974358974358,3,0.3333333333333333
5,popular,96482,0.003,,,,,,0.3341818617857079,1.0,1,1.0
5,popular,96557,0.003,,,,,,0.0,0.0,,0.0
5,popular,96610,0.003,,,,,,0.24645112928910853,0.15873015873015872,7,0.14285714285714285
5,popular,97384,0.003,,,,,,0.0,0.0,,0.0
5,popular,98541,0.002,,,,,,0.0,0.0,,0.0
5,popular,99093,0.002,,,,,,0.0883281600146406,0.1111111111111111,9,0.1111111111111111
5,popular,100277,0.001,,,,,,0.16363298611205215,0.25,4,0.25
5,popular,102242,0.002,,,,,,0.4506916114414305,0.30952380952380953,2,0.5
5,popular,102668,0.002,,,,,,0.0,0.0,,0.0
5,popular,102750,0.003,,,,,,0.0,0.0,,0.0
5,popular,103286,0.003,,,,,,0.0,0.0,,0.0
5,popular,103754,0.002,,,,,,0.15124772695976366,1.0,1,1.0
5,popular,103816,0.001,,,,,,0.18806028809754025,0.3333333333333333,3,0.3333333333333333
5,popular,103872,0.002,,,,,,0.0,0.0,,0.0
5,popular,107020,0.002,,,,,,0.0,0.0,,0.0
5,popular,108010,0.003,,,,,,0.09087486927674975,0.125,8,0.125
5,popular,111206,0.002,,,,,,0.249515208051618,1.0,1,1.0
5,popular,112948,0.002,,,,,,0.4402364945027234,0.2933723196881091,2,0.5
5,popular,113645,0.002,,,,,,0.1604312355553203,0.12698412698412698,7,0.14285714285714285
5,popular,114335,0.002,,,,,,0.0,0.0,,0.0
5,popular,115611,0.002,,,,,,0.0,0.0,,0.0
5,popular,115852,0.002,,,,,,0.2682207032095826,1.0,1,1.0
5,popular,117007,0.003,,,,,,0.0,0.0,,0.0
5,popular,117493,0.003,,,,,,0.0,0.0,,0.0
5,popular,117905,0.002,,,,,,0.0,0.0,,0.0
5,popular,118304,0.002,,,,,,0.18603610255762199,0.3333333333333333,3,0.3333333333333333
5,popular,119134,0.002,,,,,,0.2095594205567938,1.0,1,1.0
5,popular,119330,0.003,,,,,,0.06622980047984157,0.07692307692307693,13,0.07692307692307693
5,popular,119501,0.002,,,,,,0.06066308432253011,0.16666666666666666,6,0.16666666666666666
5,popular,119522,0.002,,,,,,0.08559367716049848,0.14285714285714285,7,0.14285714285714285
5,popular,120479,0.002,,,,,,0.7257338966480306,0.44666666666666666,2,0.5
5,popular,121052,0.002,,,,,,0.24086291740031276,1.0,1,1.0
5,popular,124078,0.002,,,,,,0.2801662796493595,1.0,1,1.0
5,popular,124288,0.002,,,,,,0.0,0.0,,0.0
5,popular,124448,0.002,,,,,,0.06322026139115924,0.1,10,0.1
5,popular,124454,0.002,,,,,,0.2317375698954198,0.175,4,0.25
5,popular,124849,0.002,,,,,,0.08178547089443422,0.1111111111111111,9,0.1111111111111111
5,popular,124981,0.002,,,,,,0.0,0.0,,0.0
5,popular,126912,0.002,,,,,,0.0,0.0,,0.0
5,popular,128079,0.003,,,,,,0.0,0.0,,0.0
5,popular,128263,0.002,,,,,,0.0,0.0,,0.0
5,popular,128590,0.003,,,,,,0.5859017914078509,0.7083333333333334,1,1.0
5,popular,129078,0.002,,,,,,0.11200342911749203,0.16666666666666666,6,0.16666666666666666
5,popular,130517,0.002,,,,,,0.05253814116543343,0.047619047619047616,21,0.047619047619047616
5,popular,130589,0.002,,,,,,0.0648134522357499,0.0625,16,0.0625
5,popular,130819,0.002,,,,,,0.0,0.0,,0.0
5,popular,131331,0.003,,,,,,0.3264520545599345,0.20405982905982908,3,0.3333333333333333
5,popular,132470,0.003,,,,,,0.0,0.0,,0.0
5,popular,132595,0.003,,,,,,0.0,0.0,,0.0
5,popular,133811,0.002,,,,,,0.0,0.0,,0.0
5,popular,134181,0.003,,,,,,0.13065831550625867,0.2,5,0.2
5,popular,134964,0.002,,,,,,0.13781336953952686,0.2,5,0.2
5,popular,135223,0.002,,,,,,0.06542818496258164,0.09090909090909091,11,0.09090909090909091
5,popular,138072,0.002,,,,,,0.0,0.0,,0.0
5,lucene,1741,6.095,5,5,1.0,0.8976332717519826,9.984565739436487,0.0,0.0,,0.0
5,lucene,2847,1.786,5,5,1.0,0.9934244844834,10.473339221038733,0.0,0.0,,0.0
5,lucene,4347,0.17300000000000001,5,5,1.0,0.9739678574399465,7.4922828697182435,0.0,0.0,,0.0
5,lucene,4483,0.266,5,5,1.0,0.9871717623977794,14.200537007218344,0.0,0.0,,0.0
5,lucene,5063,0.183,5,4,0.8,0.7546949997924868,7.880929753571458,0.0,0.0,,0.0
5,lucene,8335,0.08700000000000001,5,5,1.0,0.9921249585170272,13.100410409469312,0.0,0.0,,0.0
5,lucene,9263,0.126,5,5,1.0,1.0,16.696678442077467,0.0,0.0,,0.0
5,lucene,10164,0.194,5,5,1.0,1.0,14.531086967542706,0.0,0.0,,0.0
5,lucene,10573,0.169,5,5,1.0,0.9809669868945161,12.885072130432615,0.0,0.0,,0.0
5,lucene,11081,0.17400000000000002,5,5,1.0,0.9738861552616213,9.323465818787767,0.37109463708239493,0.5434782608695652,1,1.0
5,lucene,12014,0.09,5,5,1.0,0.9877557908442508,11.184818934934553,0.0,0.0,,0.0
5,lucene,12930,0.042,5,5,1.0,0.9108009716311355,10.25028381172028,0.0,0.0,,0.0
5,lucene,12999,0.136,5,5,1.0,0.9759025657880167,14.946678442077467,0.0,0.0,,0.0
5,lucene,13340,0.051000000000000004,5,4,0.8,0.6440731406812551,7.315464876785729,0.0,0.0,,0.0
5,lucene,13927,0.046,5,4,0.8,0.8903774923799661,14.27371901428583,0.3118940100645225,1.0,1,1.0
5,lucene,14328,0.134,5,5,1.0,0.9570331134022183,12.680960369793672,0.0,0.0,,0.0
5,lucene,14833,0.108,5,5,1.0,0.981664930144226,13.385072130432615,0.0,0.0,,0.0
5,lucene,15415,0.127,5,5,1.0,0.9299042992737949,13.777228402401827,0.0,0.0,,0.0
5,lucene,17039,0.081,5,5,1.0,0.9649886593971192,13.781086967542706,0.0,0.0,,0.0
5,lucene,17318,0.197,5,5,1.0,0.9858865741570014,15.31189012336513,0.3219349689077872,0.5,2,0.5
5,lucene,17630,0.19,5,5,1.0,0.995571037709914,14.715622090756977,0.0,0.0,,0.0
5,lucene,17709,0.146,5,5,1.0,0.9703745047730802,16.37735500015086,0.0,0.0,,0.0
5,lucene,18127,0.17400000000000002,5,4,0.8,0.8571245542425356,10.77371901428583,0.0,0.0,,0.0
5,lucene,18390,0.15,5,5,1.0,0.7925628464255449,8.803889181363093,0.0,0.0,,0.0
5,lucene,18634,0.16,5,5,1.0,0.9585338745157314,13.961763525616098,0.0,0.0,,0.0
5,lucene,18758,0.11800000000000001,5,5,1.0,0.9815292939748955,13.284945532683583,0.0,0.0,,0.0
5,lucene,19114,0.151,5,5,1.0,0.9625648217763351,15.430960369793672,0.11109888800092471,0.14285714285714285,7,0.14285714285714285
