Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,lucene,,0.327,19.176000000000002,172,860,838,0.9744186046511628,0.7000796924022618,0.76776416119258,0.9555152342514605,0.030852846255144502,0.04825368827879416,0.05161480832659267
1,ii,,16.0,57.730000000000004,173,865,865,1.0,0.7100499225637987,0.8040469126769961,0.9737331801502354,0.03985772880498295,0.04871379271440116,0.05215440730043711
1,svd,,19.672,0.584,173,865,865,1.0,0.7108673636138259,0.8091902235332534,0.9754633373537235,0.056668136910453665,0.0802606891418839,0.08994644725124479
5,lucene-svd-blend,0.9,25.414,170.494,172,860,860,1.0,0.6799246956702423,0.7385738713551347,0.9736384356003196,0.051071114271682864,0.084660085037002,0.08636752365022037
5,lucene-svd-blend,0.7,5.038,170.616,172,860,860,1.0,0.6740105780131317,0.7342612539922462,0.9730393124883266,0.04979763491490839,0.08681936314239755,0.09066011397483244
5,lucene-svd-blend,0.8,25.411,170.737,172,860,860,1.0,0.6762270390372502,0.7355955421570791,0.9731385169316008,0.05068266928367435,0.08675173742857113,0.08855969219570224
5,lucene-svd-blend,1.0,25.401,171.156,172,860,860,1.0,0.6850607344349873,0.7431764760376214,0.9738389836855306,0.04990061944322794,0.08046615832498345,0.08158319477330726
5,ii-svd-blend,0.9,25.397000000000002,265.725,172,860,860,1.0,0.6815372417931717,0.7392791638606679,0.9740065356480638,0.050560566572241596,0.0791664184371014,0.0806365169247607
5,ii-svd-blend,0.8,25.397000000000002,265.86,172,860,860,1.0,0.6787256551621714,0.7361797073400547,0.9731440106233227,0.050782323642584726,0.08371160054825891,0.08431711095262287
5,ii-svd-blend,1.0,25.397000000000002,266.76,172,860,860,1.0,0.6850607344349873,0.7431764760376214,0.9738389836855306,0.04990061944322794,0.08046615832498345,0.08158319477330726
5,lucene-svd-blend,0.6,0.038,170.281,172,860,860,1.0,0.6733059158775966,0.7345799656042942,0.9728014306734751,0.048962735584704674,0.08596952556807985,0.0903560032035315
5,lucene-svd-blend,0.5,0.038,170.013,172,860,860,1.0,0.6741284777014457,0.736549531192702,0.9726226629565158,0.04727591051570926,0.08500902069836819,0.08697886695258518
1,ii-svd-blend,0,37.746,259.413,173,865,865,1.0,0.7100499225637987,0.8040469126769961,0.9737331801502354,0.03985772880498295,0.04871379271440116,0.05215440730043711
5,ii-svd-blend,0.7,0.08600000000000001,263.64,172,860,860,1.0,0.6766424747282824,0.7338882153829547,0.9731821876097908,0.05268444890495804,0.08593011098764007,0.08659149880777409
5,lucene-svd-blend,0.4,0.038,170.149,172,860,860,1.0,0.6764780924401493,0.7401567720511742,0.9716072364205022,0.0427391448562833,0.06991096795251608,0.07169487046701026
5,ii-svd-blend,0.6,0.137,264.794,172,860,860,1.0,0.6753020168233963,0.7324122716439132,0.9727856575625801,0.05146179264504867,0.08152467398570037,0.08253252796785251
5,lucene-svd-blend,0.3,0.043000000000000003,169.971,172,860,860,1.0,0.6803406883708234,0.7453779120729839,0.9703349850906571,0.04035825566103035,0.05918273109880796,0.06434648446149963
5,ii-svd-blend,0.5,0.083,264.672,172,860,860,1.0,0.6747157634115745,0.7317568109892421,0.9728694335944007,0.05019330760488428,0.0779679843643212,0.07899374993442043
5,ii-svd-blend,0.4,0.092,264.826,172,860,860,1.0,0.6748916671457468,0.7319240377263354,0.9734880671441053,0.04988809903733864,0.07714585095268156,0.0789353368852413
1,lucene-svd-blend,0,0.023,166.647,173,865,865,1.0,0.7215077270960916,0.8213475440050739,0.9715546200380498,0.02815630384352783,0.035885448911356206,0.03634243902917597
5,lucene-svd-blend,0.2,0.036000000000000004,171.163,172,860,860,1.0,0.685691351840499,0.7521793440924774,0.970251032434522,0.03551113042708623,0.051741060931652386,0.056009371330623746
5,ii-svd-blend,0.3,0.085,264.745,172,860,860,1.0,0.6758336684861386,0.7329133887247723,0.9735531597300376,0.04510556278270254,0.0736839687713111,0.07554956280260282
5,lucene-svd-blend,0.1,0.038,171.15,172,860,860,1.0,0.692498131951606,0.7605186709296105,0.9691913046098506,0.03377050105908164,0.05086357754084323,0.05414761865981862
5,svd,,19.075,0.47900000000000004,172,860,860,1.0,0.688344137640415,0.7477046911666644,0.9723513366536305,0.04136406135292527,0.06486870515386393,0.06716926473640027
4,lucene,,0.074,23.201,172,860,836,0.9720930232558139,0.7591595445523244,0.8501490816953664,0.9522226157928345,0.028724939304299837,0.03572679528214993,0.038368844090814404
5,ii,,0.07,59.335,172,860,860,1.0,0.6832390558625977,0.7407675622425859,0.9721694904006293,0.0331026338989145,0.04639626137403155,0.0470870053718891
5,lucene-svd-blend,0,0.022,167.701,172,860,860,1.0,0.7007255549703751,0.7703459490811482,0.9688405898415062,0.030852846255144502,0.04825368827879416,0.05161480832659267
5,ii-svd-blend,0.2,0.077,262.402,172,860,860,1.0,0.6775417155328052,0.7347215428584929,0.9735396808252853,0.04035710367127144,0.061961436917200303,0.0638428968655207
5,ii-svd-blend,0.1,0.101,262.15,172,860,860,1.0,0.6800123203242942,0.7373424764019969,0.972748067186215,0.036120671709868615,0.05448079669774896,0.05553102768984042
1,ii-svd-blend,0.1,0.065,254.923,173,865,865,1.0,0.7066999515427417,0.8013135349762897,0.9740947876359732,0.0422499182245379,0.055296271263851046,0.06146613181295262
5,ii-svd-blend,0,0.07100000000000001,260.993,172,860,860,1.0,0.6832390558625977,0.7407675622425859,0.9721694904006293,0.0331026338989145,0.04639626137403155,0.0470870053718891
4,lucene-svd-blend,1.0,34.97,165.187,172,860,860,1.0,0.7121256971580855,0.8071998788636435,0.9737572140905142,0.03768118904252485,0.05312585746067278,0.05788776222257754
4,lucene-svd-blend,0.9,0.022,164.93,172,860,860,1.0,0.7095135142782498,0.8036391132312168,0.973512369291954,0.0405603377754456,0.055155930355953744,0.060771366276622225
4,lucene-svd-blend,0.8,0.03,164.364,172,860,860,1.0,0.7086627902609413,0.80188282816466,0.9730972918604045,0.04218263129984096,0.05932627601916246,0.06751738400678207
4,ii-svd-blend,1.0,43.239000000000004,256.436,172,860,860,1.0,0.7121256971580855,0.8071998788636435,0.9737572140905142,0.03768118904252485,0.05312585746067278,0.05788776222257754
1,lucene-svd-blend,0.1,0.021,164.62,173,865,865,1.0,0.7138509870826762,0.8134963847454241,0.972829443626525,0.03298477603377773,0.0425282459318054,0.04376183386298993
4,ii-svd-blend,0.9,0.08700000000000001,255.875,172,860,860,1.0,0.7090487599688654,0.8041368477121842,0.9726765059130918,0.03957085320499725,0.05323680865359139,0.05840686469574046
4,lucene-svd-blend,0.7,0.02,164.093,172,860,860,1.0,0.7095611958426229,0.8019428793925248,0.9725504762555685,0.04323842309018771,0.05773071456287489,0.06466397832753401
4,lucene-svd-blend,0.6,0.024,163.845,172,860,860,1.0,0.7121822019148298,0.8038188598335545,0.9726316731348389,0.04113140003296366,0.05318156685479549,0.06096661395670306
4,ii-svd-blend,0.8,0.064,255.322,172,860,860,1.0,0.7067541377160833,0.8019706260586299,0.9721695108919567,0.039509328766292505,0.05218788062513117,0.05644511980267793
4,ii-svd-blend,0.7,0.061,254.733,172,860,860,1.0,0.705252156700591,0.8007084925705664,0.971594067519726,0.040113617250668226,0.05826947787015106,0.0637512054449019
4,lucene-svd-blend,0.5,0.02,163.814,172,860,860,1.0,0.716484885466049,0.8074981132811263,0.9720658714667993,0.039988962305815196,0.04983352694950002,0.05696435908033214
4,ii-svd-blend,0.6,0.06,254.834,172,860,860,1.0,0.7045497960983409,0.8003547244127203,0.971975035934355,0.039430019091656186,0.058061828245242864,0.06285989440616811
4,lucene-svd-blend,0.4,0.02,163.29,172,860,860,1.0,0.7224207453101076,0.812956156501545,0.9713703171439924,0.03833636052432241,0.047705293718593646,0.05491774161341609
4,lucene-svd-blend,0.3,0.018000000000000002,164.191,172,860,860,1.0,0.7299391549325218,0.8201574774076453,0.9705868937438451,0.035174301677998954,0.046076109033485364,0.0526770880438351
1,ii-svd-blend,0.2,0.069,255.69400000000002,173,865,865,1.0,0.7042222399112745,0.7993808079766375,0.9745717925867929,0.04720499414621214,0.06248694164339536,0.07154619024712748
4,ii-svd-blend,0.5,0.059000000000000004,255.309,172,860,860,1.0,0.704650668443883,0.800910525281238,0.9724336251157306,0.039677139797013324,0.06109280695315311,0.06621728518809644
4,ii-svd-blend,0.4,0.068,255.19400000000002,172,860,860,1.0,0.7055552221819366,0.8023740050152113,0.97265632487823,0.040593812426046795,0.0600960441367418,0.06625354942215406
4,lucene-svd-blend,0.2,0.024,164.431,172,860,860,1.0,0.7389884305606361,0.8290566500633731,0.9703114149078199,0.03433906687872221,0.04516342506752887,0.04840396342893626
4,svd,,18.78,0.487,172,860,860,1.0,0.7214022800709358,0.8158027531318476,0.9710629532384722,0.04288563577246154,0.0570810448531107,0.06604824743949934
4,lucene-svd-blend,0.1,0.019,163.948,172,860,860,1.0,0.7495148616794857,0.8395996880619089,0.9685252055548038,0.031429480033077634,0.04133008723808998,0.04437170463675252
3,lucene,,0.042,22.916,172,860,832,0.9674418604651163,0.6900945998168286,0.7666549836882611,0.9546886897005162,0.02875674488858547,0.03555756462040212,0.03735873663959739
4,ii-svd-blend,0.3,0.063,255.488,172,860,860,1.0,0.7072609909534263,0.8047402115859549,0.9724587609513541,0.03816659689361764,0.05496797689215759,0.058599180959408165
4,ii,,0.056,60.877,172,860,860,1.0,0.7171169389406775,0.8171618197208109,0.970419419859666,0.03279209747345742,0.04300450687433896,0.0484378082780576
1,lucene-svd-blend,0.2,0.019,164.45000000000002,173,865,865,1.0,0.7076619792309918,0.8071478145034611,0.9732030298585375,0.039200825270966785,0.05689360852932842,0.05892407003955872
4,lucene-svd-blend,0,0.024,164.058,172,860,860,1.0,0.7614615314255616,0.8517255480996961,0.967951851898741,0.028724939304299837,0.03572679528214993,0.038368844090814404
4,ii-svd-blend,0.2,0.066,255.722,172,860,860,1.0,0.7097626641844996,0.8080012142095078,0.9711140689825583,0.0363824879875404,0.05014763139789161,0.054433466265753766
4,ii-svd-blend,0.1,0.064,256.219,172,860,860,1.0,0.7130518799733309,0.812146234360565,0.9709846217967892,0.03505052246311922,0.04979401353100861,0.053836641904267346
3,lucene-svd-blend,1.0,37.511,159.835,172,860,860,1.0,0.6847878578416169,0.7659370490219967,0.9754195569865977,0.05480039211671214,0.10521974165865014,0.11201329295459542
4,ii-svd-blend,0,0.06,257.323,172,860,860,1.0,0.7171169389406775,0.8171618197208109,0.970419419859666,0.03279209747345742,0.04300450687433896,0.0484378082780576
3,lucene-svd-blend,0.9,5.488,160.39600000000002,172,860,860,1.0,0.6777665733856396,0.7579578195857138,0.9750120075943015,0.058014380506539794,0.11266297384106436,0.11597916159727661
3,lucene-svd-blend,0.8,0.02,160.303,172,860,860,1.0,0.6724318664664827,0.7518051796135656,0.9757690325890229,0.059414177110955806,0.11610629772195889,0.1190169396303258
3,ii-svd-blend,1.0,15.63,248.942,172,860,860,1.0,0.6847878578416169,0.7659370490219967,0.9754195569865977,0.05480039211671214,0.10521974165865014,0.11201329295459542
